object_type,schema_name,table_name,object_name,subtype,definition
constraint,public,accounts,accounts_pkey,p,PRIMARY KEY (id)
index,public,accounts,accounts_pkey,,CREATE UNIQUE INDEX accounts_pkey ON public.accounts USING btree (id)
constraint,public,bookings,bookings_driver_assignment_status_check,c,"CHECK (driver_assignment_status IS NULL OR (driver_assignment_status = ANY (ARRAY['Awaiting response'::text, 'Accepted'::text, 'Declined'::text])))"
constraint,public,bookings,bookings_pkey,p,PRIMARY KEY (id)
index,public,bookings,bookings_driver_assignment_status_idx,,CREATE INDEX bookings_driver_assignment_status_idx ON public.bookings USING btree (driver_assignment_status)
index,public,bookings,bookings_pkey,,CREATE UNIQUE INDEX bookings_pkey ON public.bookings USING btree (id)
constraint,public,clash_reviews,clash_reviews_clash_key_key,u,UNIQUE (clash_key)
constraint,public,clash_reviews,clash_reviews_pkey,p,PRIMARY KEY (id)
index,public,clash_reviews,clash_reviews_clash_key_key,,CREATE UNIQUE INDEX clash_reviews_clash_key_key ON public.clash_reviews USING btree (clash_key)
index,public,clash_reviews,clash_reviews_pkey,,CREATE UNIQUE INDEX clash_reviews_pkey ON public.clash_reviews USING btree (id)
constraint,public,customers,customers_passenger_phone_key,u,UNIQUE (passenger_phone)
constraint,public,customers,customers_pkey,p,PRIMARY KEY (id)
index,public,customers,customers_passenger_phone_key,,CREATE UNIQUE INDEX customers_passenger_phone_key ON public.customers USING btree (passenger_phone)
index,public,customers,customers_pkey,,CREATE UNIQUE INDEX customers_pkey ON public.customers USING btree (id)
constraint,public,drivers,drivers_auth_user_id_key,u,UNIQUE (auth_user_id)
constraint,public,drivers,drivers_email_key,u,UNIQUE (email)
constraint,public,drivers,drivers_pkey,p,PRIMARY KEY (id)
index,public,drivers,drivers_auth_user_id_key,,CREATE UNIQUE INDEX drivers_auth_user_id_key ON public.drivers USING btree (auth_user_id)
index,public,drivers,drivers_email_key,,CREATE UNIQUE INDEX drivers_email_key ON public.drivers USING btree (email)
index,public,drivers,drivers_pkey,,CREATE UNIQUE INDEX drivers_pkey ON public.drivers USING btree (id)
constraint,public,licensing_authorities,licensing_authorities_pkey,p,PRIMARY KEY (id)
index,public,licensing_authorities,licensing_authorities_pkey,,CREATE UNIQUE INDEX licensing_authorities_pkey ON public.licensing_authorities USING btree (id)
constraint,public,operator_users,operator_users_email_key,u,UNIQUE (email)
constraint,public,operator_users,operator_users_pkey,p,PRIMARY KEY (user_id)
constraint,public,operator_users,operator_users_user_id_fkey,f,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
index,public,operator_users,operator_users_email_key,,CREATE UNIQUE INDEX operator_users_email_key ON public.operator_users USING btree (email)
index,public,operator_users,operator_users_pkey,,CREATE UNIQUE INDEX operator_users_pkey ON public.operator_users USING btree (user_id)
constraint,public,vehicles,vehicles_pkey,p,PRIMARY KEY (id)
index,public,vehicles,vehicles_pkey,,CREATE UNIQUE INDEX vehicles_pkey ON public.vehicles USING btree (id)
